,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
1234,BAH,42.39,2018-05-29,109255816.44,BAH,62.8,2019-05-29,89244389.2
1235,BAH,61.11,2019-05-28,177339203.37,BAH,76.84,2020-05-27,102296784.64
1236,BAH,77.03,2020-05-26,130904782.0,BAH,85.24,2021-05-26,104503472.83999999
1237,BAH,82.47,2021-05-21,125693434.17,BAH,,,
1238,BATL,,,,BATL,,,
1239,BATL,,,,BATL,7.01,2020-03-09,131178.13
1240,BATL,7.01,2020-03-09,131178.13,BATL,12.54,2021-03-08,774558.1799999999
1241,BATL,12.54,2021-03-08,774558.1799999999,BATL,20.0,2022-03-08,1342720.0
1242,BATL,18.85,2022-03-07,445708.25000000006,BATL,,,
1243,BAX,67.43,2018-02-23,138886784.74,BAX,74.97,2019-02-25,259183959.93
1244,BAX,74.04,2019-02-21,176826252.12,BAX,92.67,2020-02-21,141734687.52
1245,BAX,73.36,2020-03-17,434417599.28,BAX,79.13,2021-03-17,300115401.44
1246,BAX,78.13,2021-02-11,140547431.95999998,BAX,87.35,2022-02-11,304852460.84999996
1247,BAX,84.51,2022-02-23,266480819.46,BAX,,,
1248,BB,9.32,2019-04-08,31748095.36,BB,3.3,2020-04-06,34708109.699999996
1249,BB,2.73,2020-03-18,27235962.39,BB,11.39,2021-03-18,130279275.60000001
1250,BB,8.61,2021-03-31,282969070.65,BB,,,
1251,BB,,,,BB,,,
1252,BBBY,17.46,2018-05-02,51552553.14,BBBY,16.29,2019-05-02,72491607.72
1253,BBBY,16.92,2019-04-30,68278122.0,BBBY,6.82,2020-04-29,95162679.04
1254,BBBY,6.82,2020-04-29,95162679.04,BBBY,26.29,2021-04-29,57654469.51
1255,BBBY,26.76,2021-04-22,62104527.720000006,BBBY,,,
1256,BBBY,,,,BBBY,,,
1257,BBGI,12.15,2018-02-20,233923.95,BBGI,4.58,2019-02-20,114944.26
1258,BBGI,4.43,2019-02-19,123136.28,BBGI,3.96,2020-02-19,143641.08
1259,BBGI,3.87,2020-02-21,25464.600000000002,BBGI,2.94,2021-02-22,305912.88
1260,BBGI,2.92,2021-02-19,308594.36,BBGI,2.06,2022-02-22,19310.44
1261,BBGI,1.91,2022-02-23,31916.1,BBGI,,,
1262,BBIO,,,,BBIO,35.04,2020-02-10,10863521.28
1263,BBIO,34.37,2020-02-13,7768479.249999999,BBIO,68.48,2021-02-12,117956252.16000001
1264,BBIO,67.86,2021-02-25,147282936.84,BBIO,8.08,2022-02-25,25124654.96
1265,BBIO,8.08,2022-02-25,25124654.96,BBIO,,,
1266,BBRG,4.0,2018-03-15,1849088.0,BBRG,,,
1267,BBSI,76.35,2018-03-06,6792401.399999999,BBSI,81.45,2019-03-06,5989670.100000001
1268,BBSI,81.31,2019-03-05,3566988.39,BBSI,58.32,2020-03-04,5423876.64
1269,BBSI,60.24,2020-03-03,2444478.96,BBSI,75.19,2021-03-03,3013389.63
1270,BBSI,71.66,2021-03-08,2867618.2199999997,BBSI,72.23,2022-03-08,4712935.2700000005
1271,BBSI,73.31,2022-03-07,14618160.620000001,BBSI,,,
