,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
7535,UPLD,49.25,2021-02-25,24916116.75,UPLD,18.59,2022-02-25,14565134.87
7536,UPS,104.74,2018-02-21,577047747.9,UPS,110.77,2019-02-21,250345849.26999998
7537,UPS,110.77,2019-02-21,250345849.26999998,UPS,105.62,2020-02-21,637324388.12
7538,UPS,106.48,2020-02-20,337667885.28000003,UPS,161.33,2021-02-19,497210670.84000003
7539,UPS,159.72,2021-02-22,618130774.8,UPS,208.73,2022-02-22,738672927.16
7540,UPST,93.0,2021-02-12,60080325.0,UPST,100.03,2022-02-14,719000335.41
7541,UPWK,22.24,2019-02-07,8844692.32,UPWK,9.32,2020-02-07,11944633.16
7542,UPWK,8.66,2020-03-02,39509249.54,UPWK,55.51,2021-03-02,125217903.72
7543,UPWK,60.81,2021-02-24,580080941.16,UPWK,21.66,2022-02-24,46732013.160000004
7544,URBN,36.94,2018-04-02,91427497.38,URBN,30.48,2019-04-02,109671154.8
7545,URBN,29.78,2019-04-01,86289009.22,URBN,14.47,2020-03-31,30181193.19
7546,URBN,14.47,2020-03-31,30181193.19,URBN,37.34,2021-03-31,33202055.880000003
7547,URI,186.47,2018-01-24,324601754.84,URI,121.52,2019-01-24,491019666.47999996
7548,URI,119.34,2019-01-23,360921155.40000004,URI,153.66,2020-01-23,170131583.7
7549,URI,151.5,2020-01-29,196641091.5,URI,245.7,2021-01-28,288129933.0
7550,URI,240.12,2021-01-27,303617332.8,URI,329.8,2022-01-27,648774315.0
7551,USAP,26.22,2018-02-23,261151.19999999998,USAP,18.41,2019-02-25,585769.38
7552,USAP,17.6,2019-02-20,969742.4,USAP,13.23,2020-02-20,175271.04
7553,USAP,13.22,2020-02-19,264743.72000000003,USAP,9.85,2021-02-18,652651.15
7554,USAP,10.14,2021-02-17,429317.46,USAP,9.51,2022-02-17,116126.61
7555,USCR,68.85,2018-03-01,68422648.05,USCR,40.77,2019-03-01,14632312.23
7556,USCR,40.67,2019-02-27,11559796.780000001,USCR,28.22,2020-02-27,14542556.16
7557,USCR,35.0,2020-02-25,28908110.0,USCR,50.25,2021-02-24,21133642.5
7558,USFD,33.36,2018-02-27,54923737.199999996,USFD,35.35,2019-02-27,44070915.7
7559,USFD,35.34,2019-02-14,143438310.06,USFD,40.48,2020-02-14,48798154.239999995
7560,USFD,40.43,2020-02-13,51789212.8,USFD,36.46,2021-02-12,73211534.16
7561,USFD,35.24,2021-02-16,78302680.92,USFD,38.81,2022-02-16,105600612.84
7562,USG,33.1,2018-02-14,28266208.400000002,USG,43.0,2019-02-14,68896922.0
7563,USM,36.81,2018-02-26,9503826.66,USM,47.51,2019-02-26,20835748.05
7564,USM,57.72,2019-02-22,45664889.4,USM,31.29,2020-02-24,7860861.54
7565,USM,31.75,2020-02-25,7918989.75,USM,29.22,2021-02-24,9342422.94
7566,USM,33.15,2021-02-18,5569664.1,USM,30.56,2022-02-18,4576787.84
7567,USNA,76.75,2018-02-28,7406912.25,USNA,98.15,2019-02-28,30170328.5
7568,USNA,100.78,2019-02-26,33843334.92,USNA,66.63,2020-02-26,22099705.139999997
7569,USNA,67.69,2020-02-25,20821037.86,USNA,92.97,2021-02-24,14582437.47
7570,USNA,99.06,2021-03-02,11876699.64,USNA,87.96,2022-03-02,6719264.399999999
7571,USX,8.02,2019-03-06,1690672.14,USX,4.05,2020-03-05,2181127.5
7572,USX,4.1,2020-03-04,1611103.2,USX,11.03,2021-03-04,8418603.379999999
7573,USX,10.0,2021-03-02,3724720.0,USX,4.44,2022-03-02,1279212.84
7574,UTHR,134.3,2018-02-21,221254146.60000002,UTHR,117.49,2019-02-21,19256023.55
7575,UTHR,127.53,2019-02-27,62265374.730000004,UTHR,104.79,2020-02-27,108487410.36
7576,UTHR,104.44,2020-02-26,160084900.92,UTHR,174.38,2021-02-25,70019324.53999999
7577,UTHR,169.08,2021-02-24,78970335.72,UTHR,175.05,2022-02-24,285367560.3
7578,UTL,43.92,2018-02-01,7034973.84,UTL,52.59,2019-02-01,2702757.87
7579,UTL,49.61,2019-01-31,4361760.81,UTL,63.8,2020-01-31,3865514.4
7580,UTL,62.68,2020-01-30,3530262.96,UTL,40.74,2021-01-29,1858069.9200000002
